corename,species,latitude,longitude,d18oc,temp,temp_ann,d18osw
GIK12303-3,ruberwhite,26.2,-14.79,-0.69,18.3497615814209,19.27301597595215,1.1407256126403809
GIK12304-3,bulloides,26.23,-14.81,-0.3,18.3497615814209,19.27301597595215,1.1407256126403809
GIK12304-3,ruberwhite,26.23,-14.81,-0.56,18.3497615814209,19.27301597595215,1.1407256126403809
GIK12305-2,bulloides,26.29,-14.86,0.12,18.3497615814209,19.27301597595215,1.1407256126403809
GIK12305-2,ruberwhite,26.29,-14.86,-0.63,18.3497615814209,19.27301597595215,1.1407256126403809
GIK12306-2,bulloides,26.49,-14.93,-0.49,18.3497615814209,19.27301597595215,1.1407256126403809
GIK12306-2,ruberwhite,26.49,-14.93,-0.67,18.3497615814209,19.27301597595215,1.1407256126403809
GIK12307-3,bulloides,26.41,-14.96,-0.35,18.3497615814209,19.27301597595215,1.1407256126403809
GIK12307-3,ruberwhite,26.41,-14.96,-0.5,18.3497615814209,19.27301597595215,1.1407256126403809
GIK12308-2,bulloides,26.65,-15.05,-0.43,19.032041549682617,20.304365158081055,1.1407256126403809
GIK12308-2,ruberwhite,26.65,-15.05,-0.57,19.032041549682617,20.304365158081055,1.1407256126403809
GIK12309-1,bulloides,26.84,-15.11,-0.56,19.032041549682617,20.304365158081055,1.1407256126403809
GIK12309-1,ruberwhite,26.84,-15.11,-0.83,19.032041549682617,20.304365158081055,1.1407256126403809
GIK12309-2,ruberwhite,26.83,-15.117,-0.52,,20.304365158081055,1.1407256126403809
GIK12310-1,ruberwhite,23.5,-18.72,-0.96,,21.156084060668945,1.1145920753479004
GIK12313-2,bulloides,22.48,-17.15,-0.17,17.845887756347658,18.796491622924805,1.0606310367584229
GIK12314-2,bulloides,22.5,-17.22,-0.1,17.845887756347658,18.796491622924805,1.0606310367584229
GIK12315-2,bulloides,22.71,-17.16,-0.22,17.845887756347658,18.796491622924805,1.0606310367584229
GIK12316-1,bulloides,22.71,-17.13,-0.14,17.845887756347658,18.796491622924805,1.0606310367584229
GIK12317-1,bulloides,22.86,-17.15,-0.17,17.845887756347658,18.796491622924805,1.0606310367584229
GIK12322-2,bulloides,22.9,-17.16,-0.21,17.845887756347658,18.796491622924805,1.0606310367584229
GIK12323-1,bulloides,22.91,-17.19,-0.29,17.845887756347658,18.796491622924805,1.0606310367584229
GIK12323-1,ruberwhite,22.91,-17.19,-0.71,17.845887756347658,18.796491622924805,1.0606310367584229
GIK12324-1,bulloides,22.92,-17.22,-0.16,17.845887756347658,18.796491622924805,1.0606310367584229
GIK12324-1,ruberwhite,22.92,-17.22,-0.74,17.845887756347658,18.796491622924805,1.0606310367584229
GIK12325-4,bulloides,22.99,-17.33,-0.35,17.845887756347658,18.796491622924805,1.0606310367584229
GIK12325-4,ruberwhite,22.99,-17.33,-0.68,17.845887756347658,18.796491622924805,1.0606310367584229
GIK12326-2,bulloides,23.04,-17.41,-0.4,18.381890106201173,19.32160186767578,1.1065651178359985
GIK12326-2,ruberwhite,23.04,-17.41,-1.05,18.381890106201173,19.32160186767578,1.1065651178359985
GIK12327-2,bulloides,23.13,-17.74,-0.54,18.381890106201173,19.32160186767578,1.1065651178359985
